a,550
b,1240
c,760
d,810
e,750
f,830
g,680
h,730
i,730
j,780
k,730
l,740
m,710
n,750
o,700
p,760
q,760
r,850
s,710
t,750
u,730
v,750
w,710
x,730
y,780
z,710
t,780
h,740
a,710
n,760
k,710
y,760
o,830
u,700
f,660
o,730
r,730
p,780
l,710
a,730
y,680
i,760
n,730
g,790
o,780
u,810
r,730
g,740
a,700
m,710
e,740
b,800
e,730
n,860
h,680
o,710
n,700
g,730
m,760
a,830
t,730
t,710
k,680
e,810
n,760
d,730
i,710
y,800
a,680
m,730
a,700
d,830
e,710
t,780
h,710
i,830
s,750
